,number,lang,word,mean_freq,matched_word,mean_dash_freq,has_dash,mean_total_freq,corrected_total_freq,about_word,exactly_word,mean_freq_about,mean_freq_exactly,log_freq_about,log_freq_exactly,log_freq,log_freq_uncorrected,arabic_number,mult10,mult7,mult5,mult3,mult2,exp2,exp3,exp5,exp7,exp10,log10
58,59,en,fifty-nine,0.3804438913270061,fifty - nine,1.2498715474360806e-08,True,0.3804438913270061,0.3804438913270061,about fifty-nine,exactly fifty-nine,0.0019611862210475116,0.00020950497879291145,-2.707481166692458,-3.678805651759284,-0.4197093848431559,-0.4197093848431559,,0,0,0,0,0,0,0,0,0,0,1.7708520116421442
59,60,en,sixty,15.680115300746563,sixty,0.0,False,15.680115300746563,11.042378459108603,about sixty,exactly sixty,0.4588384999182131,0.005465227294686045,-0.3383401487469338,-2.262391771358342,1.0430626277783843,1.1953492518620603,,1,0,1,1,1,2,1,1,0,1,1.7781512503836436
60,61,en,sixty-one,0.3695105774300721,sixty - one,1.7062247963079413e-08,True,0.3695105774300721,0.3695105774300721,about sixty-one,exactly sixty-one,0.0018821089207840481,0.00016074756102738062,-2.725355246835075,-3.793855607768504,-0.43237312518860443,-0.43237312518860443,,0,0,0,0,0,0,0,0,0,0,1.7853298350107671
61,62,en,sixty-two,0.5088841954361937,sixty - two,1.7873930274856553e-08,True,0.5088841954361937,0.5088841954361937,about sixty-two,exactly sixty-two,0.004322348030692459,0.00018000494266442088,-2.3642802671325605,-3.7447155696610674,-0.2933810369267347,-0.2933810369267347,,0,0,0,0,1,1,0,0,0,0,1.792391689498254
62,63,en,sixty-three,0.4180111540220013,sixty - three,1.834259144573025e-08,True,0.4180111540220013,0.4180111540220013,about sixty-three,exactly sixty-three,0.003728427098649703,0.00023302401287156655,-2.4284743441822028,-3.6325993230930083,-0.37881212955133725,-0.37881212955133725,,0,1,0,1,0,0,2,0,1,0,1.7993405494535817
63,64,en,sixty-four,0.5470586389117884,sixty - four,2.1652135753181572e-08,True,0.5470586389117884,0.5470586389117884,about sixty-four,exactly sixty-four,0.004289024538578598,0.00021413652217157816,-2.3676414690468226,-3.6693092550554747,-0.26196611938705777,-0.26196611938705777,,0,0,0,0,1,6,0,0,0,0,1.806179973983887
64,65,en,sixty-five,1.3372951022628352,sixty - five,3.2921233704272193e-08,True,1.3372951022628352,1.3372951022628352,about sixty-five,exactly sixty-five,0.0345721596187666,0.00024480050013241843,-1.4612734905409455,-3.611187699253079,0.12622725404026866,0.12622725404026866,,0,0,1,0,0,0,0,1,0,0,1.8129133566428555
65,66,en,sixty-six,0.4432203788124467,sixty - six,1.4258481715584742e-08,True,0.4432203788124467,0.4432203788124467,about sixty-six,exactly sixty-six,0.004398042823174429,0.00012208233416563248,-2.3567405462854127,-3.913347175772197,-0.35338027941156713,-0.35338027941156713,,0,0,0,1,1,1,1,0,0,0,1.8195439355418688
66,67,en,sixty-seven,0.350680588323984,sixty - seven,1.3558241083221585e-08,True,0.350680588323984,0.350680588323984,about sixty-seven,exactly sixty-seven,0.0031140592261698595,9.754514298695297e-05,-2.5066731318596926,-4.010794350323583,-0.455088273517137,-0.455088273517137,,0,0,0,0,0,0,0,0,0,0,1.8260748027008264
67,68,en,sixty-eight,0.3702307356202344,sixty - eight,1.3937828825723554e-08,True,0.3702307356202344,0.3702307356202344,about sixty-eight,exactly sixty-eight,0.003508645700775633,0.00012693954649677832,-2.454860484154684,-3.8964030575763284,-0.4315275300558893,-0.4315275300558893,,0,0,0,0,1,2,0,0,0,0,1.8325089127062364
68,69,en,sixty-nine,0.29284547081840406,sixty - nine,1.0780817197569957e-08,True,0.29284547081840406,0.29284547081840406,about sixty-nine,exactly sixty-nine,0.0015887231225575555,6.54224068709924e-05,-2.798951783612556,-4.18427348235163,-0.5333614884322837,-0.5333614884322837,,0,0,0,1,0,0,1,0,0,0,1.8388490907372552
69,70,en,seventy,9.746788959198645,seventy,0.0,False,9.746788959198645,5.266480486324433,about seventy,exactly seventy,0.31386815384634886,0.0031166421513290185,-0.5032527470920175,-2.5063130599704824,0.7215204793503649,0.9888615626740904,,1,1,1,0,1,1,0,1,1,1,1.845098040014257
70,71,en,seventy-one,0.29581434184106625,seventy - one,1.2972042333549503e-08,True,0.29581434184106625,0.29581434184106625,about seventy-one,exactly seventy-one,0.0013943989046205424,9.285284462608641e-05,-2.8556129670608867,-4.032204786738543,-0.5289807741138252,-0.5289807741138252,,0,0,0,0,0,0,0,0,0,0,1.8512583487190752
71,72,en,seventy-two,0.6247198899366007,seventy - two,2.01807667918711e-08,True,0.6247198899366007,0.6247198899366007,about seventy-two,exactly seventy-two,0.0057616235791083815,0.0005184294290157728,-2.2394551186443215,-3.2853103534021355,-0.2043146666933265,-0.2043146666933265,,0,0,0,1,1,3,2,0,0,0,1.8573324964312685
72,73,en,seventy-three,0.31260109676400044,seventy - three,1.3397734285826002e-08,True,0.31260109676400044,0.31260109676400044,about seventy-three,exactly seventy-three,0.0024009952468472505,0.00015350665625617836,-2.619608699697264,-3.8138727881825374,-0.5050095025877284,-0.5050095025877284,,0,0,0,0,0,0,0,0,0,0,1.863322860120456
73,74,en,seventy-four,0.32361922354967276,seventy - four,1.279961537195181e-08,True,0.32361922354967276,0.32361922354967276,about seventy-four,exactly seventy-four,0.0020663949712560513,7.498389150880483e-05,-2.684786663725179,-4.125032024344661,-0.489965688439316,-0.489965688439316,,0,0,0,0,1,1,0,0,0,0,1.8692317197309762
74,75,en,seventy-five,1.7681245213573085,seventy - five,6.052757806945046e-08,True,1.7681245213573085,1.7681245213573085,about seventy-five,exactly seventy-five,0.08273331935006532,0.00050654803962491,-1.0823195509597312,-3.295379361054602,0.2475128472347696,0.2475128472347696,,0,0,1,1,0,0,1,2,0,0,1.8750612633917
75,76,en,seventy-six,0.32149942211724597,seventy - six,1.385315204597434e-08,True,0.32149942211724597,0.32149942211724597,about seventy-six,exactly seventy-six,0.0028475677306323798,8.752953121291801e-05,-2.5455259372435695,-4.057845397502898,-0.49281980336656106,-0.49281980336656106,,0,0,0,0,1,2,0,0,0,0,1.8808135922807914
76,77,en,seventy-seven,0.2770036477319509,seventy - seven,1.225737420059779e-08,True,0.2770036477319509,0.2770036477319509,about seventy-seven,exactly seventy-seven,0.0020965940247535844,0.00011977318537841689,-2.6784856562673336,-3.9216404001910457,-0.5575145118762483,-0.5575145118762483,,0,1,0,0,0,0,0,0,1,0,1.8864907251724818
77,78,en,seventy-eight,0.3141068301668865,seventy - eight,1.1919554754978007e-08,True,0.3141068301668865,0.3141068301668865,about seventy-eight,exactly seventy-eight,0.0026130024919400995,7.14296181435285e-05,-2.5828601760991887,-4.146121671569448,-0.5029226198844041,-0.5029226198844041,,0,0,0,1,1,1,1,0,0,0,1.8920946026904804
78,79,en,seventy-nine,0.2428194994094798,seventy - nine,9.565247017109431e-09,True,0.2428194994094798,0.2428194994094798,about seventy-nine,exactly seventy-nine,0.0010613550915045883,6.52500194398651e-05,-2.974139292365539,-4.1854193546007945,-0.6147164405543536,-0.6147164405543536,,0,0,0,0,0,0,0,0,0,0,1.8976270912904414
79,80,en,eighty,7.526860969722061,eighty,0.0,False,7.526860969722061,4.899291903621575,about eighty,exactly eighty,0.2428746779291852,0.0021498688341541686,-0.6146177623002224,-2.667588036056841,0.6901333158301683,0.8766138941609941,,1,0,1,0,1,4,0,1,0,1,1.9030899869919435
80,81,en,eighty-one,0.27060667578633213,eighty - one,1.1899029587355842e-08,True,0.27060667578633213,0.27060667578633213,about eighty-one,exactly eighty-one,0.0010886540062672943,7.871820706166679e-05,-2.9631101248764753,-4.103924806244552,-0.5676614936903389,-0.5676614936903389,,0,0,0,1,0,0,4,0,0,0,1.9084850188786497
81,82,en,eighty-two,0.28741795028517847,eighty - two,1.1498306968869478e-08,True,0.28741795028517847,0.28741795028517847,about eighty-two,exactly eighty-two,0.0023081466106603167,4.6358891194818536e-05,-2.6367366087838406,-4.333866959976142,-0.5414861121017185,-0.5414861121017185,,0,0,0,0,1,1,0,0,0,0,1.9138138523837167
82,83,en,eighty-three,0.2616320637785333,eighty - three,1.2328909074482806e-08,True,0.2616320637785333,0.2616320637785333,about eighty-three,exactly eighty-three,0.0016628470702780688,7.791472981505725e-05,-2.779147690400672,-4.108380430996556,-0.5823090330206725,-0.5823090330206725,,0,0,0,0,0,0,0,0,0,0,1.919078092376074
83,84,en,eighty-four,0.3219106148702956,eighty - four,1.4289538963861132e-08,True,0.3219106148702956,0.3219106148702956,about eighty-four,exactly eighty-four,0.0025589159505942376,8.90494966028526e-05,-2.591943978588232,-4.050368531262178,-0.49226470239612435,-0.49226470239612435,,0,1,0,1,1,2,1,0,1,0,1.9242792860618816
84,85,en,eighty-five,0.5437836733233103,eighty - five,1.8234951553088373e-08,True,0.5437836733233103,0.5437836733233103,about eighty-five,exactly eighty-five,0.018601211917173795,0.00019720866769666693,-1.7304587594490255,-3.70507400090542,-0.2645738359026888,-0.2645738359026888,,0,0,1,0,0,0,0,1,0,0,1.9294189257142926
